job_id,job_name,salary,job_labels,job_experience,job_degree,city_name,area_district,business_district,brand_name,brand_scale,brand_stage,skills,welfare_list,boss_name,boss_title
2a455eafbdcfd1b203x839y8FVJU,IT行业-招聘专家/专员/双休/急招HR,9-14K·16薪,1-3年 | 本科,1-3年,本科,武汉,洪山区,关山,北京海量数据,1000-9999人,已上市,公司人力资源部门 | 猎头经验 | 综合人力部门 | 不接受居家办公,五险一金 | 补充医疗保险 | 餐补 | 股票期权 | 带薪年假 | 零食下午茶 | 健身房 | 员工旅游 | 节日福利 | 定期体检,刘女士,招聘主管
eb1c09f85a3f7f300nd90ty8GVNT,行政前台专员,7-8K·13薪,经验不限 | 学历不限,经验不限,学历不限,北京,海淀区,学院路,北京海量数据,1000-9999人,已上市,,股票期权 | 零食下午茶 | 健身房 | 五险一金 | 餐补 | 员工旅游 | 带薪年假 | 节日福利 | 补充医疗保险 | 定期体检,孙楚琪,招聘专员
359b61ff27e770440nZ_09u8FVBT,AI效能实习生,150-300元/天,4天/周 | 6个月 | 本科,,本科,广州,天河区,棠下,北京海量数据,1000-9999人,已上市,,股票期权 | 补充医疗保险 | 零食下午茶 | 健身房 | 带薪年假 | 员工旅游 | 餐补 | 节日福利 | 五险一金 | 定期体检,徐女士,人力资源实习生
6cda64f62c1ca1ab1XF83Nm_GVpR,高级dba工程师,15-25K·13薪,经验不限 | 本科,经验不限,本科,武汉,江汉区,常青,北京海量数据,1000-9999人,已上市,Oracle,补充医疗保险 | 带薪年假 | 餐补 | 股票期权 | 零食下午茶 | 员工旅游 | 节日福利 | 健身房 | 五险一金 | 定期体检,徐冰,招聘专员
a7883392f10fbc4f0ndy2ty7GVNW,渠道销售-杭州,11-20K·24薪,3-5年 | 本科,3-5年,本科,杭州,滨江区,长河,北京海量数据,1000-9999人,已上市,,带薪年假 | 员工旅游 | 健身房 | 五险一金 | 补充医疗保险 | 股票期权 | 零食下午茶 | 餐补 | 定期体检 | 节日福利,王女士,招聘专员
be118d01a823613d0ndy39u1ElRV,销售-交通安平医疗国央企教育党政,11-20K·24薪,5-10年 | 本科,5-10年,本科,福州,鼓楼区,东街口,北京海量数据,1000-9999人,已上市,,员工旅游 | 带薪年假 | 健身房 | 定期体检 | 五险一金 | 餐补 | 补充医疗保险 | 节日福利 | 零食下午茶 | 股票期权,张海琴,招聘经理
5f374ca3976f75700ndy2tS9ElNR,大客户销售-上市IT不坐班-上海,10-15K·24薪,1-3年 | 本科,1-3年,本科,上海,长宁区,北新泾,北京海量数据,1000-9999人,已上市,,补充医疗保险 | 股票期权 | 节日福利 | 健身房 | 零食下午茶 | 带薪年假 | 定期体检 | 五险一金 | 员工旅游 | 餐补,路女士,hr
7945628e8be5f7cc0nZ72929F1ZS,城市负责人-嘉兴（24薪）,11-20K·24薪,3-5年 | 本科,3-5年,本科,嘉兴,南湖区,城南,北京海量数据,1000-9999人,已上市,,五险一金 | 补充医疗保险 | 健身房 | 节日福利 | 带薪年假 | 股票期权 | 餐补 | 员工旅游 | 定期体检 | 零食下午茶,何先生,招聘经理
f0a81d8788f6727703Bz3Ni6EVJS,大客户销售（无责底薪0基础带教&上市企业）,12-15K·24薪,经验不限 | 本科,经验不限,本科,武汉,江汉区,常青,北京海量数据,1000-9999人,已上市,大客户销售 | 年轻有冲劲 | 医疗教育政府大企业 | 完整培养体系带教 | 国产化替换,节日福利 | 餐补 | 带薪年假 | 五险一金 | 股票期权 | 定期体检 | 健身房 | 补充医疗保险 | 零食下午茶 | 员工旅游,盛女士,招聘专员
1f0f12615ad124030ndy39u7F1NY,交通行业大客户销售-上市公司不坐班,13-14K·24薪,5-10年 | 本科,5-10年,本科,北京,海淀区,学院路,北京海量数据,1000-9999人,已上市,客户关系维护 | B端市场开发经验 | 交通行业 | 航司 | 空管 | 机场,员工旅游 | 股票期权 | 定期体检 | 补充医疗保险 | 健身房 | 五险一金 | 餐补 | 零食下午茶 | 节日福利 | 带薪年假,陈女士,招聘专家
80351d42158363600nd73d24ElJY,大客户销售-政府/教育/医疗/企业/交通/能源,13-25K·24薪,3-5年 | 本科,3-5年,本科,北京,海淀区,学院路,北京海量数据,1000-9999人,已上市,新客户开发,定期体检 | 员工旅游 | 股票期权 | 五险一金 | 零食下午茶 | 餐补 | 补充医疗保险 | 节日福利 | 健身房 | 带薪年假,熊女士,hr
8418367e4f600e6f0nR63tu9FlNY,产品经理（数据库生态工具负责人）,35-60K,5-10年 | 本科,5-10年,本科,北京,海淀区,二里庄,北京海量数据,1000-9999人,已上市,,五险一金 | 员工旅游 | 节日福利 | 零食下午茶 | 带薪年假 | 定期体检 | 股票期权 | 餐补 | 补充医疗保险 | 健身房,张女士,招聘经理
d3a37ad752843cbb0nV709W8EFRZ,数据库工具业务owner,35-65K·13薪,经验不限 | 本科,经验不限,本科,北京,海淀区,二里庄,北京海量数据,1000-9999人,已上市,,节日福利 | 零食下午茶 | 定期体检 | 健身房 | 带薪年假 | 股票期权 | 补充医疗保险 | 员工旅游 | 餐补 | 五险一金,金女士,招聘经理
56cf68eb1660f2b103x939i-ElVZ,医疗行业大客户经理,15-20K·24薪,3-5年 | 本科,3-5年,本科,长沙,开福区,北辰三角洲,北京海量数据,1000-9999人,已上市,软件/信息化服务销售经验 | 医疗/大健康 | 定制解决方案 | 先进制造 | B端市场开发经验 | 面销/陌拜经验 | 业务开拓能力 | 收集分析市场信息 | 客户关系维护 | 新客户开发 | 计算机相关学历 | 商务谈判技巧 | 市场营销相关学历 | 较多外勤 | 企业服务 | 通信/网络设备 | 制定销售策略和目标 | 软件/SaaS | 互联网/科技,零食下午茶 | 带薪年假 | 五险一金 | 补充医疗保险 | 餐补 | 健身房 | 节日福利 | 股票期权 | 员工旅游 | 定期体检,吴雷波,湖南代表处总经理
9e9711098f438a7803d92tm-GFRR,信创软件大客户销售,12-24K,3-5年 | 本科,3-5年,本科,南京,建邺区,江东,北京海量数据,1000-9999人,已上市,,带薪年假 | 餐补 | 五险一金 | 节日福利 | 股票期权 | 员工旅游 | 补充医疗保险 | 定期体检 | 健身房 | 零食下午茶,潘女士,招聘专家
dbfd15d6e907c08e0nV_0t26E1tZ,AI工具开发,20-35K·13薪,3-5年 | 本科,3-5年,本科,南京,建邺区,江东,北京海量数据,1000-9999人,已上市,,定期体检 | 健身房 | 餐补 | 补充医疗保险 | 五险一金 | 股票期权 | 员工旅游 | 节日福利 | 带薪年假 | 零食下午茶,肖女士,研发招聘
5c3855c2df82442803N63Nm8FFVY,高级客户经理/大客户经理,15-25K·14薪,3-5年 | 本科,3-5年,本科,兰州,城关区,东湖,北京海量数据,1000-9999人,已上市,,五险一金 | 股票期权 | 带薪年假 | 餐补 | 员工旅游 | 健身房 | 零食下午茶 | 节日福利 | 补充医疗保险 | 定期体检,王女士,人事
89e23970f0e256b50nd83N65GFpY,招聘专家,13-22K·24薪,5-10年 | 本科,5-10年,本科,上海,长宁区,北新泾,北京海量数据,1000-9999人,已上市,猎头经验 | 高管招聘经验 | 不接受居家办公,定期体检 | 员工旅游 | 股票期权 | 带薪年假 | 节日福利 | 五险一金 | 零食下午茶 | 餐补 | 补充医疗保险 | 健身房,郭女士,海量数据的HR
d3ca4481edfb55c30nV429S8GVdZ,生态运作支持,12-24K,3-5年 | 本科,3-5年,本科,南昌,红谷滩区,红角洲,北京海量数据,1000-9999人,已上市,ERP/OA/CRM系统 | 云服务 | 其他类型SaaS/PaaS | 生态伙伴 | ISV | to b,零食下午茶 | 节日福利 | 定期体检 | 餐补 | 带薪年假 | 股票期权 | 补充医疗保险 | 员工旅游 | 健身房 | 五险一金,李女士,HR.招聘专员
f6e09093d7d068270nd709m7GVZQ,上市公司-信息化产品—ka销售,15-25K·24薪,3-5年 | 本科,3-5年,本科,珠海,香洲区,拱北,北京海量数据,1000-9999人,已上市,,带薪年假 | 补充医疗保险 | 五险一金 | 餐补 | 零食下午茶 | 股票期权 | 节日福利 | 员工旅游 | 定期体检 | 健身房,吴女士,招聘者
fbafc1ae687f16190nV529i5EltZ,销售经理-上市公司不坐班-航司 轨交 铁路,15-25K·24薪,3-5年 | 本科,3-5年,本科,上海,长宁区,北新泾,北京海量数据,1000-9999人,已上市,,股票期权 | 五险一金 | 零食下午茶 | 定期体检 | 餐补 | 带薪年假 | 节日福利 | 健身房 | 补充医疗保险 | 员工旅游,孙女士,招聘专家
00d86990dd81dc161nR73ti7FVpT,oracle pg mysql数据库工程师,13-18K,3-5年 | 本科,3-5年,本科,上海,长宁区,北新泾,北京海量数据,1000-9999人,已上市,DBA | MySQL | Oracle | OCM | PostgreSQL,节日福利 | 餐补 | 股票期权 | 员工旅游 | 定期体检 | 健身房 | 五险一金 | 零食下午茶 | 补充医疗保险 | 带薪年假,马永志,技术总监
1b4c6e06bf640ee203Zz29m-EFFZ,大客户销售经理/总监-IT信创-上市公司,13-26K·24薪,3-5年 | 本科,3-5年,本科,深圳,南山区,科技园,北京海量数据,1000-9999人,已上市,新客户开发 | 客户关系维护 | 软件/SaaS | 通信/网络设备 | B端市场开发经验 | 软件/信息化服务销售经验 | 信创 | 计算机 | 软件 | 硬件 | IT服务,员工旅游 | 补充医疗保险 | 定期体检 | 零食下午茶 | 健身房 | 五险一金 | 餐补 | 带薪年假 | 股票期权 | 节日福利,张女士,HR
dfe99852ff0ab0870nR-39i6F1RV,数据库文档工程师,15-25K·13薪,5-10年 | 本科,5-10年,本科,西安,雁塔区,高新路,北京海量数据,1000-9999人,已上市,技术文档,餐补 | 补充医疗保险 | 员工旅游 | 节日福利 | 定期体检 | 带薪年假 | 健身房 | 五险一金 | 零食下午茶 | 股票期权,景先生,人才挖猎专家
a0cb76cd30e32e760nd-3N65GVVU,医疗/公安//交通大客户负责人-不坐班,12-20K·24薪,5-10年 | 本科,5-10年,本科,太原,小店区,北营,北京海量数据,1000-9999人,已上市,软件/信息化服务销售经验 | 商务谈判技巧 | B端市场开发经验 | 通信/网络设备 | 软件/SaaS | 业务开拓能力 | 互联网/科技,员工旅游 | 零食下午茶 | 餐补 | 定期体检 | 节日福利 | 补充医疗保险 | 带薪年假 | 股票期权 | 健身房 | 五险一金,余女士,招聘专家
