job_id,job_name,salary,job_labels,job_experience,job_degree,city_name,area_district,business_district,brand_name,brand_scale,brand_stage,skills,welfare_list,boss_name,boss_title
a5545f08be53b1e80ndy2tW4E1tS,大区渠道岗-福州（直招） (MJ000709),10-11K,经验不限 | 本科,经验不限,本科,福州,鼓楼区,湖前,电科金仓,500-999人,未融资,,生日福利 | 定期体检 | 年终奖 | 餐补 | 股票期权 | 通讯补贴 | 带薪年假 | 交通补助 | 五险一金 | 绩效奖金 | 团建聚餐 | 零食下午茶 | 意外险 | 节日福利,王女士,招聘者
30329d38e924973103V-0tW9FFBS,DBA（武汉） (MJ000549),15-30K,经验不限 | 本科,经验不限,本科,武汉,江汉区,常青,电科金仓,500-999人,未融资,Oracle | MySQL | PostgreSQL,交通补助 | 生日福利 | 绩效奖金 | 节日福利 | 团建聚餐 | 零食下午茶 | 餐补 | 带薪年假 | 股票期权 | 通讯补贴 | 定期体检 | 意外险 | 年终奖 | 五险一金,韩女士,HRBP
4dc95da32820f01b1H1y09q5GVJU,区域行业销售岗-南昌 (MJ000466),11-22K,3-5年 | 本科,3-5年,本科,南昌,青山湖区,京东,电科金仓,500-999人,未融资,数据库,通讯补贴 | 交通补助 | 节日福利 | 年终奖 | 带薪年假 | 五险一金 | 绩效奖金 | 零食下午茶 | 生日福利 | 团建聚餐 | 意外险 | 定期体检 | 股票期权 | 餐补,杨先生,HRBP
0711b9ef79662dd30nV52tu8GFVT,培训岗 (MJ000663),12-20K·13薪,经验不限 | 学历不限,经验不限,学历不限,北京,朝阳区,来广营,电科金仓,500-999人,未融资,,交通补助 | 带薪年假 | 节日福利 | 五险一金 | 股票期权 | 餐补 | 年终奖 | 生日福利 | 团建聚餐 | 定期体检 | 意外险 | 通讯补贴 | 零食下午茶 | 绩效奖金,鲁先生,HR
da5dc4708082b84c03Jy3N65FVpS,售前工程师-北京 (MJ000602),14-16K,在校/应届 | 硕士,在校/应届,硕士,北京,朝阳区,善各庄,电科金仓,500-999人,未融资,,餐补 | 定期体检 | 通讯补贴 | 五险一金 | 意外险 | 年终奖 | 带薪年假 | 节日福利 | 团建聚餐 | 交通补助 | 股票期权 | 零食下午茶 | 生日福利 | 绩效奖金,魏女士,HR
5afe047fb41a1de80nd70tq7E1NR,存储系统专家-西安,25-40K,经验不限 | 本科,经验不限,本科,西安,雁塔区,鱼化寨,电科金仓,500-999人,未融资,,股票期权 | 生日福利 | 年终奖 | 带薪年假 | 节日福利 | 通讯补贴 | 意外险 | 零食下午茶 | 交通补助 | 绩效奖金 | 定期体检 | 五险一金 | 餐补 | 团建聚餐,孙女士,HRBP
74023a83490fc2ea0nZ63tS7E1ZX,前端工程师（数据库工具方向）,16-26K,3-5年 | 本科,3-5年,本科,西安,雁塔区,高新软件园,电科金仓,500-999人,未融资,,餐补 | 零食下午茶 | 年终奖 | 绩效奖金 | 团建聚餐 | 生日福利 | 意外险 | 股票期权 | 带薪年假 | 五险一金 | 交通补助 | 通讯补贴 | 定期体检 | 节日福利,王凯龙,架构师
30a42e32c16e3b831XZ_3dW8EVtU,数据库产品经理-应用开发架构师方向,20-40K·13薪,3-5年 | 本科,3-5年,本科,北京,朝阳区,善各庄,电科金仓,500-999人,未融资,行业应用 | 系统架构,带薪年假 | 零食下午茶 | 股票期权 | 团建聚餐 | 绩效奖金 | 五险一金 | 定期体检 | 交通补助 | 生日福利 | 通讯补贴 | 意外险 | 餐补 | 节日福利 | 年终奖,李成龙,产品经理
e1d71cf50e1a5c631H1y39i8F1FQ,中/高级数据库管理员,12-20K,3-5年 | 本科,3-5年,本科,北京,朝阳区,望京,电科金仓,500-999人,未融资,Java | DBA工作经验 | PostgreSQL | 数据库工程交付经验 | MySQL | SQL Server | Oracle,交通补助 | 意外险 | 带薪年假 | 定期体检 | 股票期权 | 节日福利 | 餐补 | 零食下午茶 | 绩效奖金 | 团建聚餐 | 年终奖 | 五险一金 | 通讯补贴 | 生日福利,张帅帅,招聘者
78252fd24aa573390nd-2N66EFRX,国产化数据库适配,20-30K·14薪,5-10年 | 本科,5-10年,本科,北京,朝阳区,望京,电科金仓,500-999人,未融资,Golang | Java | C/C++ | DBA工作经验 | Docker | PostgreSQL | MySQL | Oracle | Python,生日福利 | 定期体检 | 年终奖 | 交通补助 | 餐补 | 节日福利 | 股票期权 | 通讯补贴 | 零食下午茶 | 绩效奖金 | 带薪年假 | 团建聚餐 | 意外险 | 五险一金,谷礼鹏,技术支持
50ac5c3d17ef92091Hxy3dW1EldW,拉萨销售经理 (MJ000514),15-20K,3-5年 | 本科,3-5年,本科,拉萨,城关区,市政府,电科金仓,500-999人,未融资,基础软件销售,节日福利 | 交通补助 | 带薪年假 | 五险一金 | 团建聚餐 | 意外险 | 通讯补贴 | 年终奖 | 定期体检 | 餐补 | 生日福利 | 零食下午茶 | 股票期权 | 绩效奖金,王女士,招聘者
613edf0288e738cc0nZ_09m0EFJY,区域行业销售岗-福建 (MJ000685),12-24K,3-5年 | 本科,3-5年,本科,福州,闽侯县,新西客站,电科金仓,500-999人,未融资,,年终奖 | 生日福利 | 意外险 | 餐补 | 交通补助 | 节日福利 | 团建聚餐 | 带薪年假 | 定期体检 | 绩效奖金 | 通讯补贴 | 零食下午茶 | 股票期权 | 五险一金,杨先生,HRBP
1e1272e7247480860nVy0tW0EltW,销售运营专家 (MJ000677),20-30K,5-10年 | 本科,5-10年,本科,北京,朝阳区,来广营,电科金仓,500-999人,未融资,,绩效奖金 | 生日福利 | 交通补助 | 餐补 | 意外险 | 股票期权 | 五险一金 | 带薪年假 | 零食下午茶 | 定期体检 | 通讯补贴 | 节日福利 | 团建聚餐 | 年终奖,鲁先生,HR
126fc6ee8d9024e703N60ti7EVVW,测试工程师-成都 (MJ000610),12-14K,在校/应届 | 硕士,在校/应届,硕士,成都,双流区,双流机场,电科金仓,500-999人,未融资,功能测试 | 性能测试 | 自动化测试 | 渗透测试 | 压力测试,定期体检 | 生日福利 | 年终奖 | 节日福利 | 团建聚餐 | 交通补助 | 零食下午茶 | 带薪年假 | 股票期权 | 意外险 | 绩效奖金 | 五险一金 | 通讯补贴 | 餐补,魏女士,HR
d5a92f141f0a5ed103192tW4GVZW,高级研发工程师（多模数据库方向）,20-40K,3-5年 | 本科,3-5年,本科,成都,双流区,华阳,电科金仓,500-999人,未融资,,交通补助 | 股票期权 | 意外险 | 五险一金 | 团建聚餐 | 绩效奖金 | 零食下午茶 | 节日福利 | 年终奖 | 餐补 | 生日福利 | 通讯补贴 | 带薪年假 | 定期体检,孙女士,HRBP
e6a2d1f1edcfdbea0nZ63d6-GVJS,云开发工程师,15-25K,3-5年 | 本科,3-5年,本科,西安,雁塔区,高新软件园,电科金仓,500-999人,未融资,,年终奖 | 零食下午茶 | 团建聚餐 | 生日福利 | 意外险 | 交通补助 | 五险一金 | 绩效奖金 | 带薪年假 | 股票期权 | 通讯补贴 | 餐补 | 节日福利 | 定期体检,王凯龙,架构师
e26f4fef713319e71HR539S5EVJZ,DBA（南京） (MJ000320),15-30K,3-5年 | 本科,3-5年,本科,南京,玄武区,玄武门,电科金仓,500-999人,未融资,MySQL | Oracle | PostgreSQL,通讯补贴 | 定期体检 | 零食下午茶 | 股票期权 | 带薪年假 | 交通补助 | 年终奖 | 节日福利 | 团建聚餐 | 餐补 | 绩效奖金 | 生日福利 | 五险一金 | 意外险,韩女士,HRBP
fda775f44d60deeb0nd-3NW1GVtW,社区和KOL运营岗-北京直招 (MJ000705),11-18K,经验不限 | 本科,经验不限,本科,北京,朝阳区,望京,电科金仓,500-999人,未融资,,零食下午茶 | 通讯补贴 | 交通补助 | 节日福利 | 带薪年假 | 餐补 | 定期体检 | 股票期权 | 绩效奖金 | 五险一金 | 团建聚餐 | 生日福利 | 年终奖 | 意外险,王女士,招聘者
e5b7f2c14be2fe6e0nRz3dm4GVpS,风控岗 (MJ000658),12-20K,经验不限 | 本科,经验不限,本科,北京,朝阳区,来广营,电科金仓,500-999人,未融资,,团建聚餐 | 生日福利 | 定期体检 | 绩效奖金 | 通讯补贴 | 零食下午茶 | 餐补 | 年终奖 | 带薪年假 | 五险一金 | 节日福利 | 股票期权 | 意外险 | 交通补助,鲁先生,HR
ee4caac6f2ab573103Vz39W4FFZX,区域行业销售岗-杭州 (MJ000417),15-30K,3-5年 | 本科,3-5年,本科,杭州,西湖区,西溪,电科金仓,500-999人,未融资,企业（To B）,通讯补贴 | 零食下午茶 | 生日福利 | 餐补 | 年终奖 | 节日福利 | 团建聚餐 | 股票期权 | 绩效奖金 | 带薪年假 | 交通补助 | 定期体检 | 意外险 | 五险一金,杨先生,HRBP
1f6a65105d2c161d03N_3tW_FFBT,C语言研发工程师-西安 (MJ000592),14-16K,在校/应届 | 硕士,在校/应届,硕士,西安,雁塔区,高新软件园,电科金仓,500-999人,未融资,C | C++ | MySQL | Oracle | PostgreSQL | OpenGL,餐补 | 绩效奖金 | 带薪年假 | 交通补助 | 年终奖 | 节日福利 | 意外险 | 定期体检 | 股票期权 | 生日福利 | 团建聚餐 | 通讯补贴 | 五险一金 | 零食下午茶,魏女士,HR
04cc9cad8e53d6f40nR62dW6FVBY,产品营销经理,23-45K,5-10年 | 本科,5-10年,本科,北京,朝阳区,来广营,电科金仓,500-999人,未融资,市场战略规划 | 品牌管理 | 互联网/科技 | 营销策划及执行,交通补助 | 生日福利 | 通讯补贴 | 零食下午茶 | 股票期权 | 带薪年假 | 餐补 | 五险一金 | 绩效奖金 | 团建聚餐 | 年终奖 | 定期体检 | 意外险 | 节日福利,孙女士,HRBP
f7b23fb7fbec5cfe0nZ63d64EVZT,云开发工程师,15-25K,3-5年 | 本科,3-5年,本科,成都,双流区,华阳,电科金仓,500-999人,未融资,,通讯补贴 | 餐补 | 定期体检 | 零食下午茶 | 团建聚餐 | 交通补助 | 节日福利 | 绩效奖金 | 生日福利 | 股票期权 | 带薪年假 | 五险一金 | 意外险 | 年终奖,王凯龙,架构师
0c1f3c31c15e84311XJ60ti4F1NV,DBA（上海） (MJ000047),20-40K,5-10年 | 本科,5-10年,本科,上海,长宁区,仙霞,电科金仓,500-999人,未融资,Oracle | MySQL | PostgreSQL | 计算机相关专业 | DBA工作经验 | MySQL数据库管理经验 | OCP,意外险 | 年终奖 | 节日福利 | 定期体检 | 餐补 | 生日福利 | 绩效奖金 | 团建聚餐 | 通讯补贴 | 交通补助 | 股票期权 | 零食下午茶 | 带薪年假 | 五险一金,韩女士,HRBP
18b012446c8f7b7a0nR729q5F1dS,生态拓展岗-北京 (MJ000647),15-25K,3-5年 | 本科,3-5年,本科,北京,朝阳区,望京,电科金仓,500-999人,未融资,,生日福利 | 绩效奖金 | 交通补助 | 意外险 | 带薪年假 | 节日福利 | 餐补 | 五险一金 | 股票期权 | 年终奖 | 通讯补贴 | 零食下午茶 | 定期体检 | 团建聚餐,王女士,招聘者
e1447554d01620d00nVy2du8GFNQ,交通行业销售经理/总监-广州 (MJ000673),15-30K,5-10年 | 本科,5-10年,本科,广州,越秀区,北京路,电科金仓,500-999人,未融资,机场 | 高速 | 港口,通讯补贴 | 定期体检 | 股票期权 | 五险一金 | 团建聚餐 | 交通补助 | 餐补 | 带薪年假 | 年终奖 | 节日福利 | 绩效奖金 | 意外险 | 生日福利 | 零食下午茶,杨先生,HRBP
1a2649a78107ea7403Jz29i5EFBW,测试工程师-天津 (MJ000597),12-14K,在校/应届 | 硕士,在校/应届,硕士,天津,西青区,侯台,电科金仓,500-999人,未融资,功能测试 | 性能测试 | 自动化测试 | 渗透测试 | 压力测试 | Python | 计算机相关专业 | 测试工作经验 | 自动化测试经验,节日福利 | 意外险 | 绩效奖金 | 股票期权 | 零食下午茶 | 交通补助 | 五险一金 | 带薪年假 | 生日福利 | 通讯补贴 | 定期体检 | 年终奖 | 团建聚餐 | 餐补,魏女士,HR
f57b43c302b0383903Jy3tS0ElRX,全栈工程师 (MJ000606),15-20K,3-5年 | 学历不限,3-5年,学历不限,北京,朝阳区,来广营,电科金仓,500-999人,未融资,,零食下午茶 | 生日福利 | 餐补 | 通讯补贴 | 定期体检 | 股票期权 | 交通补助 | 意外险 | 团建聚餐 | 年终奖 | 绩效奖金 | 节日福利 | 带薪年假 | 五险一金,鲁先生,HR
4601f174a95b28401HB72tm7ElBW,C语言研发工程师（天津） (MJ000088),20-40K,经验不限 | 本科,经验不限,本科,天津,西青区,侯台,电科金仓,500-999人,未融资,C | PostgreSQL,意外险 | 交通补助 | 五险一金 | 股票期权 | 餐补 | 定期体检 | 带薪年假 | 节日福利 | 生日福利 | 团建聚餐 | 绩效奖金 | 通讯补贴 | 零食下午茶 | 年终奖,孙女士,HRBP
aca65002828b4e651Hd52N20EltQ,DBA（广州） (MJ000400),15-30K,经验不限 | 本科,经验不限,本科,广州,越秀区,东风中路,电科金仓,500-999人,未融资,PostgreSQL | Oracle | MySQL,交通补助 | 生日福利 | 五险一金 | 通讯补贴 | 意外险 | 股票期权 | 年终奖 | 团建聚餐 | 定期体检 | 零食下午茶 | 绩效奖金 | 带薪年假 | 节日福利 | 餐补,韩女士,HRBP
35e44205d73c3a290nV93d60F1FX,部委行业销售岗-北京 (MJ000660),15-30K,3-5年 | 本科,3-5年,本科,北京,朝阳区,望京,电科金仓,500-999人,未融资,,生日福利 | 年终奖 | 意外险 | 通讯补贴 | 零食下午茶 | 餐补 | 五险一金 | 股票期权 | 绩效奖金 | 交通补助 | 带薪年假 | 定期体检 | 团建聚餐 | 节日福利,王女士,招聘者
411e42287bffbbb303Jz29y4FldR,C语言研发工程师-天津 (MJ000590),14-16K,在校/应届 | 硕士,在校/应届,硕士,天津,西青区,侯台,电科金仓,500-999人,未融资,C++ | C | C# | MySQL | Redis | Oracle | PostgreSQL | OpenGL,通讯补贴 | 交通补助 | 年终奖 | 股票期权 | 节日福利 | 餐补 | 带薪年假 | 零食下午茶 | 五险一金 | 团建聚餐 | 生日福利 | 意外险 | 绩效奖金 | 定期体检,魏女士,HR
9f3cb4a2d63118ff0nVy2d6_EldV,区域行业销售岗-宁波 (MJ000420),15-25K,3-5年 | 本科,3-5年,本科,宁波,鄞州区,福明,电科金仓,500-999人,未融资,,带薪年假 | 五险一金 | 意外险 | 定期体检 | 年终奖 | 餐补 | 绩效奖金 | 团建聚餐 | 通讯补贴 | 交通补助 | 零食下午茶 | 股票期权 | 节日福利 | 生日福利,杨先生,HRBP
05c18a19d5dc63cc0nR539q0GVVU,纪检监察岗 (MJ000650),12-20K,经验不限 | 硕士,经验不限,硕士,北京,朝阳区,来广营,电科金仓,500-999人,未融资,,通讯补贴 | 交通补助 | 生日福利 | 五险一金 | 节日福利 | 意外险 | 餐补 | 定期体检 | 年终奖 | 零食下午茶 | 股票期权 | 带薪年假 | 团建聚餐 | 绩效奖金,鲁先生,HR
6ec93b20d8b0d3cc0nR62dW6ElFX,产品营销经理,23-45K,5-10年 | 本科,5-10年,本科,成都,双流区,华阳,电科金仓,500-999人,未融资,市场战略规划 | 品牌管理 | 互联网/科技 | 营销策划及执行,五险一金 | 带薪年假 | 交通补助 | 团建聚餐 | 生日福利 | 意外险 | 餐补 | 年终奖 | 股票期权 | 节日福利 | 通讯补贴 | 绩效奖金 | 定期体检 | 零食下午茶,孙女士,HRBP
cb772c3a327fb3e603V-3929EVBW,中高级数据库工程师 (MJ000056),20-35K,3-5年 | 本科,3-5年,本科,北京,朝阳区,望京,电科金仓,500-999人,未融资,乙方驻场 | PostgreSQL | 二线实施 | 二线DBA,五险一金 | 年终奖 | 带薪年假 | 节日福利 | 交通补助 | 餐补 | 意外险 | 通讯补贴 | 零食下午茶 | 股票期权 | 绩效奖金 | 定期体检 | 生日福利 | 团建聚餐,韩女士,HRBP
ca06bfce33d4043e03Jz29y1FFNU,C语言研发工程师-青岛 (MJ000593),13-16K,在校/应届 | 硕士,在校/应届,硕士,青岛,市北区,CBD,电科金仓,500-999人,未融资,C | C++ | C# | JavaScript | MySQL | Redis | Oracle | PostgreSQL | OpenGL | 数据库开发经验,绩效奖金 | 交通补助 | 带薪年假 | 团建聚餐 | 零食下午茶 | 定期体检 | 餐补 | 节日福利 | 年终奖 | 生日福利 | 股票期权 | 意外险 | 通讯补贴 | 五险一金,魏女士,HR
d75a79962f0d56781Hx_39i6F1NQ,事业部总经理 (MJ000345),35-65K,10年以上 | 本科,10年以上,本科,北京,朝阳区,望京,电科金仓,500-999人,未融资,企业 | 政府/社会团体 | 数据库 | 区域行业 | 事业部管理,交通补助 | 节日福利 | 意外险 | 通讯补贴 | 团建聚餐 | 生日福利 | 年终奖 | 股票期权 | 定期体检 | 五险一金 | 绩效奖金 | 零食下午茶 | 餐补 | 带薪年假,杨先生,HRBP
1c741ccec3d328970ndz2tu_F1JW,数字营销开发岗 (MJ000711),20-25K,经验不限 | 本科,经验不限,本科,北京,朝阳区,望京,电科金仓,500-999人,未融资,,五险一金 | 年终奖 | 意外险 | 团建聚餐 | 生日福利 | 带薪年假 | 餐补 | 定期体检 | 通讯补贴 | 交通补助 | 股票期权 | 零食下午茶 | 绩效奖金 | 节日福利,王女士,招聘者
41414498cfa79c9c0nd63Ni0ElJT,低代码开发平台产品经理 (MJ000440),25-35K,5-10年 | 本科,5-10年,本科,北京,朝阳区,来广营,电科金仓,500-999人,未融资,,节日福利 | 交通补助 | 意外险 | 餐补 | 股票期权 | 零食下午茶 | 定期体检 | 生日福利 | 年终奖 | 团建聚餐 | 带薪年假 | 五险一金 | 通讯补贴 | 绩效奖金,鲁先生,HR
ebc74abeaf3a3f0e0nd70tq6EFZQ,存储系统专家-天津,25-50K,经验不限 | 本科,经验不限,本科,天津,西青区,侯台,电科金仓,500-999人,未融资,,餐补 | 交通补助 | 意外险 | 生日福利 | 节日福利 | 绩效奖金 | 股票期权 | 团建聚餐 | 五险一金 | 通讯补贴 | 年终奖 | 零食下午茶 | 定期体检 | 带薪年假,孙女士,HRBP
93262d5bac05f2831X193Ny_FVNR,中高级DBA (MJ000053),18-35K,3-5年 | 本科,3-5年,本科,北京,朝阳区,望京,电科金仓,500-999人,未融资,MySQL | Oracle | PostgreSQL | 国产数据库,餐补 | 通讯补贴 | 股票期权 | 生日福利 | 交通补助 | 绩效奖金 | 零食下午茶 | 年终奖 | 节日福利 | 团建聚餐 | 带薪年假 | 五险一金 | 意外险 | 定期体检,韩女士,HRBP
b639c7931c8594fa03V82dq_GFFY,区域行业销售岗-太原 (MJ000555),12-24K,3-5年 | 本科,3-5年,本科,太原,小店区,学府街,电科金仓,500-999人,未融资,,意外险 | 生日福利 | 节日福利 | 股票期权 | 零食下午茶 | 团建聚餐 | 通讯补贴 | 带薪年假 | 餐补 | 交通补助 | 定期体检 | 年终奖 | 绩效奖金 | 五险一金,杨先生,HRBP
75949626ed674c0103Jz29m9ElNX,Java研发工程师-天津 (MJ000595),14-16K,在校/应届 | 硕士,在校/应届,硕士,天津,西青区,侯台,电科金仓,500-999人,未融资,Java | Spring | MySQL | Redis | Oracle | SQL Server | PostgreSQL,节日福利 | 生日福利 | 带薪年假 | 团建聚餐 | 零食下午茶 | 交通补助 | 餐补 | 通讯补贴 | 年终奖 | 股票期权 | 定期体检 | 五险一金 | 绩效奖金 | 意外险,魏女士,HR
50247c86b55658141HN72N27FFpU,区域销售岗-广州 (MJ000474),15-25K,5-10年 | 本科,5-10年,本科,广州,越秀区,东风中路,电科金仓,500-999人,未融资,营销能力,团建聚餐 | 带薪年假 | 节日福利 | 定期体检 | 年终奖 | 通讯补贴 | 绩效奖金 | 股票期权 | 意外险 | 交通补助 | 生日福利 | 零食下午茶 | 餐补 | 五险一金,王女士,招聘者
